,Company,Location,Date,Rocket,Country
4182,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-05-04,Falcon 9 Block 5, USA
4183,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-05-05,Electron/Curie, New Zealand
4184,CASC,"LC-2, Xichang Satellite Launch Center, China",2019-05-17,Long March 3C/E, China
4185,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-05-22,PSLV-CA, India
4186,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-05-22,Long March 4C, China
4187,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-05-24,Falcon 9 Block 5, USA
4188,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-05-27,Soyuz 2.1b/Fregat-M, Russia
4189,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019-05-30,Proton-M/Briz-M, Kazakhstan
4190,CASC,"Tai Rui Barge, Yellow Sea",2019-06-05,Long March 11H, Yellow Sea
4191,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019-06-12,Falcon 9 Block 5, USA
